determinand,filtration,EQS_basis,EQS
CD,filtered~unfiltered,W,0.2
PB,filtered~unfiltered,W,1.3
TBSN+,filtered~unfiltered,W,0.2
PFOS,filtered~unfiltered,W,0.13
