"country"	"mprog"	"helcom_subbasin"	"helcom_l3"	"helcom_l4"	"ices_ecoregion"	"ospar_region"	"ospar_subregion"	"is_amap_monitoring"	"is_helcom_monitoring"	"is_medpol_monitoring"	"is_ospar_monitoring"	"is_amap_area"	"is_helcom_area"	"is_ospar_area"	"rlabo"	"slabo"	"alabo"	"statn"	"myear"	"date"	"latitude"	"longitude"	"dephu"	"dephl"	"purpm"	"finfl"	"param"	"pargroup"	"matrx"	"basis"	"value"	"munit"	"detli"	"lmqnt"	"uncrt"	"metcu"	"qflag"	"vflag"	"metoa"	"metcx"	"metpt"	"metst"	"metps"	"metfp"	"smtyp"	"smpno"	"subno"	"dcflgs"	"tblanalysisid"	"tblparamid"	"tblsampleid"	"tblspotid"	"tbluploadid"	"subseries"
"Lithuania"	"COMB"	"Eastern Gotland Basin"	"SEA-009"	"SEA-009"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"MRLT"	"MRLT"	"MRLT"	"J56"	2007	"2007-03-06"	56.02833333	20.83333333	25				"CD"	"I-MET"	"WT"	"W"	0.08	"ug/l"		0.67			"<~Q"		"GC-ECD"	"HX"	"NF"	"RF"	"GC"	"NON"	"NAN"	"07-141/72SM"			58277	21288417	"318539"	66538	7551	
"Lithuania"	"COMB"	"Eastern Gotland Basin"	"19"	"LIT-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"MRLT"	"MRLT"	"MRLT"	"K22"	2007	"2007-03-07"	55.735	21.05	1				"HG"	"I-MET"	"WT"	"W"	0.04	"ug/l"		0.04			"<~Q"		"GC-ECD"	"HX"	"NF"	"RF"	"GC"	"NON"	"NAN"	"07-216/87SM"			58277	21288438	"318543"	66540	7551	
"Lithuania"	"COMB"	"Eastern Gotland Basin"	"19"	"LIT-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"MRLT"	"MRLT"	"MRLT"	"K22"	2007	"2007-03-07"	55.735	21.05	1				"PB"	"I-MET"	"WT"	"W"	1.33	"ug/l"		1.33			"<~Q"		"GC-ECD"	"HX"	"NF"	"RF"	"GC"	"NON"	"NAN"	"07-216/87SM"			58277	21288439	"318543"	66540	7551	
"Lithuania"	"COMB"	"Eastern Gotland Basin"	"19"	"LIT-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"MRLT"	"MRLT"	"MRLT"	"K22"	2007	"2007-03-07"	55.735	21.05	1				"CU"	"I-MET"	"WT"	"W"	4.83	"ug/l"		4.83			"<~Q"		"GC-ECD"	"HX"	"NF"	"RF"	"GC"	"NON"	"NAN"	"07-216/87SM"			58277	21288440	"318543"	66540	7551	
"Lithuania"	"COMB"	"Eastern Gotland Basin"	"19"	"LIT-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"MRLT"	"MRLT"	"MRLT"	"K22"	2007	"2007-03-07"	55.735	21.05	1				"CD"	"I-MET"	"WT"	"W"	0.08	"ug/l"		0.21			"<~Q"		"GC-ECD"	"HX"	"NF"	"RF"	"GC"	"NON"	"NAN"	"07-216/87SM"			58277	21288441	"318543"	66540	7551	
"Lithuania"	"COMB"	"Eastern Gotland Basin"	"19"	"LIT-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"MRLT"	"MRLT"	"MRLT"	"K22"	2007	"2007-03-07"	55.735	21.05	10				"HG"	"I-MET"	"WT"	"W"	0.04	"ug/l"		0.04			"<~Q"		"GC-ECD"	"HX"	"NF"	"RF"	"GC"	"NON"	"NAN"	"07-217/88SM"			58277	21288444	"318544"	66540	7551	
"Lithuania"	"COMB"	"Eastern Gotland Basin"	"19"	"LIT-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"MRLT"	"MRLT"	"MRLT"	"K22"	2007	"2007-03-07"	55.735	21.05	10				"PB"	"I-MET"	"WT"	"W"	1.33	"ug/l"		1.33			"<~Q"		"GC-ECD"	"HX"	"NF"	"RF"	"GC"	"NON"	"NAN"	"07-217/88SM"			58277	21288445	"318544"	66540	7551	
"Lithuania"	"COMB"	"Eastern Gotland Basin"	"19"	"LIT-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"MRLT"	"MRLT"	"MRLT"	"K22"	2007	"2007-03-07"	55.735	21.05	10				"CU"	"I-MET"	"WT"	"W"	4.83	"ug/l"		4.83			"<~Q"		"GC-ECD"	"HX"	"NF"	"RF"	"GC"	"NON"	"NAN"	"07-217/88SM"			58277	21288446	"318544"	66540	7551	
"Lithuania"	"COMB"	"Eastern Gotland Basin"	"19"	"LIT-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"MRLT"	"MRLT"	"MRLT"	"K22"	2007	"2007-03-07"	55.735	21.05	10				"CD"	"I-MET"	"WT"	"W"	0.08	"ug/l"		0.1			"<~Q"		"GC-ECD"	"HX"	"NF"	"RF"	"GC"	"NON"	"NAN"	"07-217/88SM"			58277	21288447	"318544"	66540	7551	
"Lithuania"	"COMB"	"Eastern Gotland Basin"	"19"	"LIT-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"MRLT"	"MRLT"	"MRLT"	"K22"	2007	"2007-03-07"	55.735	21.05	13				"HG"	"I-MET"	"WT"	"W"	0.04	"ug/l"		0.04			"<~Q"		"GC-ECD"	"HX"	"NF"	"RF"	"GC"	"NON"	"NAN"	"07-218/89SM"			58277	21288450	"318545"	66540	7551	
"Lithuania"	"COMB"	"Eastern Gotland Basin"	"19"	"LIT-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"MRLT"	"MRLT"	"MRLT"	"K22"	2007	"2007-03-07"	55.735	21.05	13				"PB"	"I-MET"	"WT"	"W"	1.33	"ug/l"		1.33			"<~Q"		"GC-ECD"	"HX"	"NF"	"RF"	"GC"	"NON"	"NAN"	"07-218/89SM"			58277	21288451	"318545"	66540	7551	
"Lithuania"	"COMB"	"Eastern Gotland Basin"	"19"	"LIT-006"	"Baltic Sea"			FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	"MRLT"	"MRLT"	"MRLT"	"K22"	2007	"2007-03-07"	55.735	21.05	13				"CU"	"I-MET"	"WT"	"W"	4.83	"ug/l"		4.83			"<~Q"		"GC-ECD"	"HX"	"NF"	"RF"	"GC"	"NON"	"NAN"	"07-218/89SM"			58277	21288452	"318545"	66540	7551	
