country,station_code,station_name,year,species,sex,determinand,matrix,basis,unit,value,qflag,limit_detection,limit_quantification,uncertainty,methodUncertainty,latitude,longitude,date,depth,noinp,filtered,AMAP_group,sampleID,replicate,pargroup,metpt,metoa,metcx,OSPAR_region,OSPAR_subregion
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,HA,D,mg/kg,4.58,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,HA,D,y,13,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,LI,W,mg/kg,9.94,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,HG,HA,D,mg/kg,2.5,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,F,AGMEA,HA,D,y,10,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,LI,W,mg/kg,4.78,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,HG,HA,D,mg/kg,5.19,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1984,Ursus maritimus,M,AGMEA,HA,D,y,12,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1985,Ursus maritimus,M,HG,LI,W,mg/kg,9.13,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1985,Ursus maritimus,M,AGMEA,HA,D,y,3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1985,Ursus maritimus,M,HG,LI,W,mg/kg,6.43,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1985,Ursus maritimus,M,AGMEA,HA,D,y,3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,HG,LI,W,mg/kg,4.96,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,AGMEA,HA,D,y,4,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,HG,LI,W,mg/kg,3.19,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,HG,LI,W,mg/kg,7.87,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,HG,HA,D,mg/kg,2.78,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1986,Ursus maritimus,F,AGMEA,HA,D,y,2,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1986,Ursus maritimus,,HG,HA,D,mg/kg,8.339,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,mg/kg,10.1,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,HA,D,y,3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,LI,W,mg/kg,4.54,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,AGMEA,HA,D,y,2,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,mg/kg,5.14,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,HA,D,y,2,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,mg/kg,9.19,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,HA,D,y,4,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,LI,W,mg/kg,8.44,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,AGMEA,HA,D,y,6,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,LI,W,mg/kg,7.05,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,AGMEA,HA,D,y,3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,mg/kg,2.84,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,HA,D,y,1,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,mg/kg,22.5,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,mg/kg,11.2,,,,25,%,,,,,,,,,,,,,,,
