country,station_code,station_name,year,species,sex,determinand,matrix,basis,value,unit,censoring,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sample,subseries,source
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,I,HG,KI,D,2.74,ug/g,,,,,,A12642,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,X,HG,KI,D,3.2,ug/g,,,,,,A12643,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,M,HG,KI,D,3.26,ug/g,,,,,,A12644,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,M,HG,KI,D,3.89,ug/g,,,,,,A12645,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,F,HG,KI,D,3.92,ug/g,,,,,,A12646,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,F,HG,KI,D,4.23,ug/g,,,,,,A12647,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,F,HG,KI,D,4.26,ug/g,,,,,,A12648,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,F,HG,KI,D,4.29,ug/g,,,,,,A12649,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,I,HG,KI,D,4.32,ug/g,,,,,,A12650,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,F,HG,KI,D,4.43,ug/g,,,,,,A12651,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,M,HG,KI,D,5.23,ug/g,,,,,,A12652,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,F,HG,KI,D,5.62,ug/g,,,,,,A12653,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,F,HG,KI,D,5.72,ug/g,,,,,,A12654,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,I,HG,KI,D,5.98,ug/g,,,,,,A12655,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,I,HG,KI,D,6.38,ug/g,,,,,,A12656,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,F,HG,KI,D,6.96,ug/g,,,,,,A12657,,Gamberg
Canada,A6,Western Hudson Bay,2008,Rangifer tarandus,F,HG,KI,D,7.89,ug/g,,,,,,A12658,,Gamberg
Canada,A6,Western Hudson Bay,2009,Rangifer tarandus,I,HG,KI,D,2.35,ug/g,,,,,,A12659,,Gamberg
Canada,A6,Western Hudson Bay,2009,Rangifer tarandus,M,HG,KI,D,4.73,ug/g,,,,,,A12660,,Gamberg
Canada,A6,Western Hudson Bay,2009,Rangifer tarandus,F,HG,KI,D,5.13,ug/g,,,,,,A12661,,Gamberg
Canada,A6,Western Hudson Bay,2009,Rangifer tarandus,F,HG,KI,D,6.65,ug/g,,,,,,A12662,,Gamberg
Canada,A6,Western Hudson Bay,2009,Rangifer tarandus,F,HG,KI,D,7.14,ug/g,,,,,,A12663,,Gamberg
Canada,A6,Western Hudson Bay,2009,Rangifer tarandus,X,HG,KI,D,5.13,ug/g,,,,,,A12664,,Gamberg
Canada,A6,Western Hudson Bay,2010,Rangifer tarandus,F,HG,KI,D,6.7,ug/g,,,,,,A12665,,Gamberg
Canada,A6,Western Hudson Bay,2010,Rangifer tarandus,X,HG,KI,D,4.46,ug/g,,,,,,A12666,,Gamberg
Canada,A6,Western Hudson Bay,2010,Rangifer tarandus,F,HG,KI,D,4.54,ug/g,,,,,,A12667,,Gamberg
Canada,A6,Western Hudson Bay,2010,Rangifer tarandus,F,HG,KI,D,4.97,ug/g,,,,,,A12668,,Gamberg
Canada,A6,Western Hudson Bay,2010,Rangifer tarandus,X,HG,KI,D,5.38,ug/g,,,,,,A12669,,Gamberg
Canada,A6,Western Hudson Bay,2010,Rangifer tarandus,F,HG,KI,D,5.45,ug/g,,,,,,A12670,,Gamberg
Canada,A6,Western Hudson Bay,2010,Rangifer tarandus,F,HG,KI,D,7.15,ug/g,,,,,,A12671,,Gamberg
Canada,A6,Western Hudson Bay,2010,Rangifer tarandus,F,HG,KI,D,7.16,ug/g,,,,,,A12672,,Gamberg
Canada,A6,Western Hudson Bay,2010,Rangifer tarandus,F,HG,KI,D,8.03,ug/g,,,,,,A12673,,Gamberg
Canada,A6,Western Hudson Bay,2010,Rangifer tarandus,F,HG,KI,D,8.13,ug/g,,,,,,A12674,,Gamberg
Canada,A6,Western Hudson Bay,2010,Rangifer tarandus,F,HG,KI,D,10.86,ug/g,,,,,,A12675,,Gamberg
Canada,A6,Western Hudson Bay,2010,Rangifer tarandus,F,HG,KI,D,11.51,ug/g,,,,,,A12676,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,F,HG,KI,D,2.71,ug/g,,,,,,A12677,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,I,HG,KI,D,2.82,ug/g,,,,,,A12678,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,M,HG,KI,D,2.82,ug/g,,,,,,A12679,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,F,HG,KI,D,3.51,ug/g,,,,,,A12680,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,F,HG,KI,D,3.53,ug/g,,,,,,A12681,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,F,HG,KI,D,3.59,ug/g,,,,,,A12682,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,F,HG,KI,D,3.64,ug/g,,,,,,A12683,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,I,HG,KI,D,3.79,ug/g,,,,,,A12684,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,F,HG,KI,D,4.3,ug/g,,,,,,A12685,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,I,HG,KI,D,4.44,ug/g,,,,,,A12686,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,F,HG,KI,D,4.65,ug/g,,,,,,A12687,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,F,HG,KI,D,5.24,ug/g,,,,,,A12688,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,F,HG,KI,D,5.74,ug/g,,,,,,A12689,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,M,HG,KI,D,6.71,ug/g,,,,,,A12690,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,I,HG,KI,D,6.82,ug/g,,,,,,A12691,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,I,HG,KI,D,7.1,ug/g,,,,,,A12692,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,F,HG,KI,D,7.11,ug/g,,,,,,A12693,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,F,HG,KI,D,7.25,ug/g,,,,,,A12694,,Gamberg
Canada,A6,Western Hudson Bay,2011,Rangifer tarandus,I,HG,KI,D,9.38,ug/g,,,,,,A12695,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,F,HG,KI,D,3.59,ug/g,,,,,,A12696,,Gamberg
