country;station_code;station_name;year;species;sex;determinand;matrix;basis;unit;value;qflag;limit_detection;limit_quantification;uncertainty;methodUncertainty;sub.sample;AMAP_group;idno
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;SCB7;BB;L;ng/g;11322.97;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DDTPP;BB;L;ng/g;422.81;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCH;BB;L;ng/g;419;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCB;BB;L;ng/g;90;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCB;BB;L;ng/g;33;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DIEL;BB;L;ng/g;249.8;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCEPX;BB;L;ng/g;228;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;MIREX;BB;L;ng/g;10.84;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;AGMEA;HA;D;y;4;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCDAN;BB;L;ng/g;1612;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;TNONC;BB;L;ng/g;195.77;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;N15D;MU;D;ppt;17.6;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;C13D;MU;D;ppt;-18.6;;;;25;%;;juvenile;1308
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;SCB7;BB;L;ng/g;10688.69;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DDTPP;BB;L;ng/g;484.2;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCH;BB;L;ng/g;341;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCB;BB;L;ng/g;228;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCB;BB;L;ng/g;31;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DIEL;BB;L;ng/g;307.45;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCEPX;BB;L;ng/g;248;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;MIREX;BB;L;ng/g;13.39;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;AGMEA;HA;D;y;8;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCDAN;BB;L;ng/g;1704;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;TNONC;BB;L;ng/g;221.7;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;N15D;MU;D;ppt;18;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;C13D;MU;D;ppt;-19.1;;;;25;%;;adult_female;1309
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;SCB7;BB;L;ng/g;12399.75;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DDTPP;BB;L;ng/g;548.99;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCH;BB;L;ng/g;308;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCB;BB;L;ng/g;65;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCB;BB;L;ng/g;27;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DIEL;BB;L;ng/g;238.26;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCEPX;BB;L;ng/g;275;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;MIREX;BB;L;ng/g;18.04;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;AGMEA;HA;D;y;9;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCDAN;BB;L;ng/g;2287;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;TNONC;BB;L;ng/g;219.22;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;N15D;MU;D;ppt;17.8;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;C13D;MU;D;ppt;-19.6;;;;25;%;;adult_female;1310
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;SCB7;BB;L;ng/g;10088.82;;;;25;%;;juvenile;1312
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DDTPP;BB;L;ng/g;390.98;;;;25;%;;juvenile;1312
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCH;BB;L;ng/g;319;;;;25;%;;juvenile;1312
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCB;BB;L;ng/g;59;;;;25;%;;juvenile;1312
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCB;BB;L;ng/g;28;;;;25;%;;juvenile;1312
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DIEL;BB;L;ng/g;194.47;;;;25;%;;juvenile;1312
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCEPX;BB;L;ng/g;231;;;;25;%;;juvenile;1312
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;MIREX;BB;L;ng/g;10.39;;;;25;%;;juvenile;1312
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;AGMEA;HA;D;y;2;;;;25;%;;juvenile;1312
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCDAN;BB;L;ng/g;1695;;;;25;%;;juvenile;1312
