country,station_code,station_name,year,species,sex,determinand,matrix,basis,value,unit,qflag,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sample,series_subroup,source
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,HG,LI,W,9.162,mg/kg,,,,25,%,A21111,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,AGMEA,WO,,5,y,,,,,,A21111,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,N15D,MU,D,15.59,ppt,,,,,,A21111,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,C13D,MU,D,-19.85,ppt,,,,,,A21111,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,HG,LI,W,2.815,mg/kg,,,,25,%,A21112,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,AGMEA,WO,,5,y,,,,,,A21112,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,N15D,MU,D,16.36,ppt,,,,,,A21112,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,C13D,MU,D,-20.19,ppt,,,,,,A21112,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,HG,LI,W,4.5,mg/kg,,,,25,%,A21113,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,AGMEA,WO,,1,y,,,,,,A21113,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,N15D,MU,D,15.82,ppt,,,,,,A21113,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,C13D,MU,D,-21.23,ppt,,,,,,A21113,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,HG,LI,W,9.775,mg/kg,,,,25,%,A21114,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,AGMEA,WO,,8,y,,,,,,A21114,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,N15D,MU,D,15.83,ppt,,,,,,A21114,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,C13D,MU,D,-20.28,ppt,,,,,,A21114,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,HG,LI,W,4.354,mg/kg,,,,25,%,A21115,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,AGMEA,WO,,9,y,,,,,,A21115,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,N15D,MU,D,16.1,ppt,,,,,,A21115,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,C13D,MU,D,-19.93,ppt,,,,,,A21115,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,HG,LI,W,5.575,mg/kg,,,,25,%,A21116,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,AGMEA,WO,,6,y,,,,,,A21116,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,N15D,MU,D,15.45,ppt,,,,,,A21116,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,C13D,MU,D,-19.84,ppt,,,,,,A21116,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,HG,LI,W,6.442,mg/kg,,,,25,%,A21117,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,AGMEA,WO,,5,y,,,,,,A21117,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,N15D,MU,D,15.68,ppt,,,,,,A21117,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,F,C13D,MU,D,-19.83,ppt,,,,,,A21117,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,HG,LI,W,9.347,mg/kg,,,,25,%,A21118,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,AGMEA,WO,,5,y,,,,,,A21118,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,N15D,MU,D,15.14,ppt,,,,,,A21118,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,C13D,MU,D,-20.22,ppt,,,,,,A21118,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,HG,LI,W,4.341,mg/kg,,,,25,%,A21119,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,AGMEA,WO,,4,y,,,,,,A21119,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,N15D,MU,D,16.01,ppt,,,,,,A21119,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2000,Phoca hispida,M,C13D,MU,D,-20.5,ppt,,,,,,A21119,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,HG,LI,W,16.715,mg/kg,,,,25,%,A21120,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,AGMEA,WO,,7,y,,,,,,A21120,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,N15D,MU,D,15.16,ppt,,,,,,A21120,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,C13D,MU,D,-19.94,ppt,,,,,,A21120,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,HG,LI,W,3.27,mg/kg,,,,25,%,A21121,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,AGMEA,WO,,2,y,,,,,,A21121,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,N15D,MU,D,15.4,ppt,,,,,,A21121,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,C13D,MU,D,-20.13,ppt,,,,,,A21121,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,HG,LI,W,2.12,mg/kg,,,,25,%,A21122,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,AGMEA,WO,,4,y,,,,,,A21122,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,N15D,MU,D,15.68,ppt,,,,,,A21122,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,C13D,MU,D,-20.03,ppt,,,,,,A21122,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,HG,LI,W,12.38,mg/kg,,,,25,%,A21123,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,AGMEA,WO,,5,y,,,,,,A21123,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,N15D,MU,D,14.92,ppt,,,,,,A21123,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,C13D,MU,D,-20.57,ppt,,,,,,A21123,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,HG,LI,W,5.06,mg/kg,,,,25,%,A21124,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,AGMEA,WO,,5,y,,,,,,A21124,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,N15D,MU,D,13.81,ppt,,,,,,A21124,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,C13D,MU,D,-20.14,ppt,,,,,,A21124,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,HG,LI,W,20.3,mg/kg,,,,25,%,A21125,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,AGMEA,WO,,14,y,,,,,,A21125,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,N15D,MU,D,14.08,ppt,,,,,,A21125,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,C13D,MU,D,-20.15,ppt,,,,,,A21125,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,HG,LI,W,2.26,mg/kg,,,,25,%,A21126,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,AGMEA,WO,,3,y,,,,,,A21126,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,N15D,MU,D,13.54,ppt,,,,,,A21126,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,C13D,MU,D,-20.42,ppt,,,,,,A21126,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,HG,LI,W,28.27,mg/kg,,,,25,%,A21127,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,AGMEA,WO,,19,y,,,,,,A21127,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,N15D,MU,D,15.45,ppt,,,,,,A21127,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,C13D,MU,D,-19.86,ppt,,,,,,A21127,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,HG,LI,W,1.59,mg/kg,,,,25,%,A21128,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,AGMEA,WO,,1,y,,,,,,A21128,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,N15D,MU,D,12.58,ppt,,,,,,A21128,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,C13D,MU,D,-19.61,ppt,,,,,,A21128,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,HG,LI,W,1.76,mg/kg,,,,25,%,A21129,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,AGMEA,WO,,13,y,,,,,,A21129,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,N15D,MU,D,14.4,ppt,,,,,,A21129,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,C13D,MU,D,-19.39,ppt,,,,,,A21129,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,HG,LI,W,8.72,mg/kg,,,,25,%,A21130,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,AGMEA,WO,,4,y,,,,,,A21130,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,N15D,MU,D,12.17,ppt,,,,,,A21130,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,C13D,MU,D,-20.52,ppt,,,,,,A21130,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,HG,LI,W,3.72,mg/kg,,,,25,%,A21131,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,AGMEA,WO,,4,y,,,,,,A21131,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,N15D,MU,D,15.18,ppt,,,,,,A21131,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,C13D,MU,D,-20.01,ppt,,,,,,A21131,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,HG,LI,W,4.67,mg/kg,,,,25,%,A21132,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,AGMEA,WO,,4,y,,,,,,A21132,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,N15D,MU,D,14.12,ppt,,,,,,A21132,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,C13D,MU,D,-19.98,ppt,,,,,,A21132,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,HG,LI,W,5.32,mg/kg,,,,25,%,A21133,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,AGMEA,WO,,4,y,,,,,,A21133,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,N15D,MU,D,15.09,ppt,,,,,,A21133,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,F,C13D,MU,D,-21.27,ppt,,,,,,A21133,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,HG,LI,W,35.32,mg/kg,,,,25,%,A21134,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,AGMEA,WO,,10,y,,,,,,A21134,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,N15D,MU,D,16.14,ppt,,,,,,A21134,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2001,Phoca hispida,M,C13D,MU,D,-20.05,ppt,,,,,,A21134,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,HG,LI,W,14.355,mg/kg,,,,25,%,A21135,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,AGMEA,WO,,8,y,,,,,,A21135,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,N15D,MU,D,16.41,ppt,,,,,,A21135,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,C13D,MU,D,-20.47,ppt,,,,,,A21135,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,HG,LI,W,2.82,mg/kg,,,,25,%,A21136,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,AGMEA,WO,,4,y,,,,,,A21136,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,N15D,MU,D,14.64,ppt,,,,,,A21136,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,C13D,MU,D,-20.21,ppt,,,,,,A21136,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,HG,LI,W,11.56,mg/kg,,,,25,%,A21137,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,AGMEA,WO,,4,y,,,,,,A21137,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,N15D,MU,D,15.27,ppt,,,,,,A21137,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,C13D,MU,D,-20.58,ppt,,,,,,A21137,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,HG,LI,W,17.385,mg/kg,,,,25,%,A21138,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,AGMEA,WO,,5,y,,,,,,A21138,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,N15D,MU,D,15.64,ppt,,,,,,A21138,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,C13D,MU,D,-19.85,ppt,,,,,,A21138,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,HG,LI,W,9.94,mg/kg,,,,25,%,A21139,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,AGMEA,WO,,6,y,,,,,,A21139,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,N15D,MU,D,15.22,ppt,,,,,,A21139,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,C13D,MU,D,-20.4,ppt,,,,,,A21139,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,HG,LI,W,8.51,mg/kg,,,,25,%,A21140,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,AGMEA,WO,,5,y,,,,,,A21140,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,N15D,MU,D,15.2,ppt,,,,,,A21140,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,C13D,MU,D,-20.67,ppt,,,,,,A21140,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,HG,LI,W,7,mg/kg,,,,25,%,A21141,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,AGMEA,WO,,3,y,,,,,,A21141,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,N15D,MU,D,15.95,ppt,,,,,,A21141,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,C13D,MU,D,-20.48,ppt,,,,,,A21141,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,HG,LI,W,12.64,mg/kg,,,,25,%,A21142,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,AGMEA,WO,,5,y,,,,,,A21142,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,N15D,MU,D,15.6,ppt,,,,,,A21142,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,C13D,MU,D,-20.34,ppt,,,,,,A21142,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,HG,LI,W,3.82,mg/kg,,,,25,%,A21143,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,AGMEA,WO,,4,y,,,,,,A21143,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,N15D,MU,D,15.12,ppt,,,,,,A21143,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,C13D,MU,D,-20.41,ppt,,,,,,A21143,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,HG,LI,W,19.75,mg/kg,,,,25,%,A21144,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,AGMEA,WO,,6,y,,,,,,A21144,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,N15D,MU,D,16.2,ppt,,,,,,A21144,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,C13D,MU,D,-20.35,ppt,,,,,,A21144,adult,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,HG,LI,W,8.91,mg/kg,,,,25,%,A21145,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,AGMEA,WO,,2,y,,,,,,A21145,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,N15D,MU,D,13.6,ppt,,,,,,A21145,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,C13D,MU,D,-20.62,ppt,,,,,,A21145,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,HG,LI,W,9.72,mg/kg,,,,25,%,A21146,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,AGMEA,WO,,4,y,,,,,,A21146,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,N15D,MU,D,15.36,ppt,,,,,,A21146,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,C13D,MU,D,-20.67,ppt,,,,,,A21146,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,HG,LI,W,7.56,mg/kg,,,,25,%,A21147,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,AGMEA,WO,,4,y,,,,,,A21147,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,N15D,MU,D,15.37,ppt,,,,,,A21147,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,F,C13D,MU,D,-20.35,ppt,,,,,,A21147,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,HG,LI,W,7.15,mg/kg,,,,25,%,A21148,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,AGMEA,WO,,4,y,,,,,,A21148,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,N15D,MU,D,16.14,ppt,,,,,,A21148,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,C13D,MU,D,-20.49,ppt,,,,,,A21148,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,HG,LI,W,7.27,mg/kg,,,,25,%,A21149,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,AGMEA,WO,,4,y,,,,,,A21149,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,N15D,MU,D,15.12,ppt,,,,,,A21149,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2002,Phoca hispida,M,C13D,MU,D,-21.16,ppt,,,,,,A21149,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,HG,LI,W,5.469,mg/kg,,,,25,%,A21150,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,AGMEA,WO,,1,y,,,,,,A21150,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,N15D,MU,D,14.597,ppt,,,,,,A21150,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,C13D,MU,D,-21.267,ppt,,,,,,A21150,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,HG,LI,W,5.469,mg/kg,,,,25,%,A21151,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,AGMEA,WO,,1,y,,,,,,A21151,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,N15D,MU,D,14.2,ppt,,,,,,A21151,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,C13D,MU,D,-24.4,ppt,,,,,,A21151,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,HG,LI,W,5.469,mg/kg,,,,25,%,A21152,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,AGMEA,WO,,1,y,,,,,,A21152,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,N15D,MU,D,14.43099662,ppt,,,,,,A21152,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,C13D,MU,D,-21.63944933,ppt,,,,,,A21152,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,HG,LI,W,5.469,mg/kg,,,,25,%,A21153,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,AGMEA,WO,,1,y,,,,,,A21153,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,N15D,MU,D,14.38,ppt,,,,,,A21153,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,C13D,MU,D,-21.13,ppt,,,,,,A21153,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,HG,LI,W,3.927,mg/kg,,,,25,%,A21154,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,AGMEA,WO,,2,y,,,,,,A21154,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,N15D,MU,D,13.98,ppt,,,,,,A21154,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,C13D,MU,D,-21.43,ppt,,,,,,A21154,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,HG,LI,W,3.927,mg/kg,,,,25,%,A21155,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,AGMEA,WO,,2,y,,,,,,A21155,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,N15D,MU,D,14.1,ppt,,,,,,A21155,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,C13D,MU,D,-24.1,ppt,,,,,,A21155,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,HG,LI,W,3.927,mg/kg,,,,25,%,A21156,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,AGMEA,WO,,2,y,,,,,,A21156,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,N15D,MU,D,14.478,ppt,,,,,,A21156,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,C13D,MU,D,-21.3,ppt,,,,,,A21156,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,HG,LI,W,3.927,mg/kg,,,,25,%,A21157,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,AGMEA,WO,,2,y,,,,,,A21157,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,N15D,MU,D,14.23324913,ppt,,,,,,A21157,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,M,C13D,MU,D,-22.15179598,ppt,,,,,,A21157,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,HG,LI,W,4.504,mg/kg,,,,25,%,A21158,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,AGMEA,WO,,0,y,,,,,,A21158,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,N15D,MU,D,14.66374654,ppt,,,,,,A21158,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,C13D,MU,D,-20.57116895,ppt,,,,,,A21158,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,HG,LI,W,4.504,mg/kg,,,,25,%,A21159,juvenile,Riget
Greenland,A90,Ittoqqortoormiit AMAP,2004,Phoca hispida,F,AGMEA,WO,,0,y,,,,,,A21159,juvenile,Riget
