determinand,ospar_subregion,BAC_basis,ERL_basis,EAC_basis,EQS_basis,FEQG_basis,BAC,ERL,EAC,EQS,FEQG
SBDE6,East of Iceland,,,,,,,,,,
SBDE6,Greenland-Scotland ridge,,,,,,,,,,
SBDE6,Irish Sea,,,,,,,,,,
SBDE6,Irish and Scottish West Coast,,,,,,,,,,
SBDE6,Northern Bay of Biscay,,,,,,,,,,
SBDE6,Northern North Sea,,,,,,,,,,
SBDE6,Norwegian Sea,,,,,,,,,,
SBDE6,Norwegian Trench,,,,,,,,,,
SBDE6,Skagerrak and Kattegat,,,,,,,,,,
SBDE6,Southern North Sea,,,,,,,,,,
SBDE6,West of Iceland,,,,,,,,,,
SBDE6,Wider Atlantic,,,,,,,,,,
HBCD,Barents Sea,,,,,,,,,,
HBCD,Celtic Sea,,,,,,,,,,
HBCD,Channel,,,,,,,,,,
HBCD,East of Iceland,,,,,,,,,,
HBCD,Greenland-Scotland ridge,,,,,,,,,,
HBCD,Irish Sea,,,,,,,,,,
HBCD,Irish and Scottish West Coast,,,,,,,,,,
HBCD,Northern Bay of Biscay,,,,,,,,,,
HBCD,Northern North Sea,,,,,,,,,,
HBCD,Norwegian Sea,,,,,,,,,,
HBCD,Norwegian Trench,,,,,,,,,,
HBCD,Skagerrak and Kattegat,,,,,,,,,,
HBCD,Southern North Sea,,,,,,,,,,
HBCD,West of Iceland,,,,,,,,,,
HBCD,Wider Atlantic,,,,,,,,,,
TBSN+,Barents Sea,,,,D,,,,,0.8,
TBSN+,Celtic Sea,,,,D,,,,,0.8,
TBSN+,Channel,,,,D,,,,,0.8,
TBSN+,East of Iceland,,,,D,,,,,0.8,
TBSN+,Greenland-Scotland ridge,,,,D,,,,,0.8,
TBSN+,Irish Sea,,,,D,,,,,0.8,
TBSN+,Irish and Scottish West Coast,,,,D,,,,,0.8,
TBSN+,Northern Bay of Biscay,,,,D,,,,,0.8,
TBSN+,Northern North Sea,,,,D,,,,,0.8,
TBSN+,Norwegian Sea,,,,D,,,,,0.8,
TBSN+,Norwegian Trench,,,,D,,,,,0.8,
TBSN+,Skagerrak and Kattegat,,,,D,,,,,0.8,
TBSN+,Southern North Sea,,,,D,,,,,0.8,
TBSN+,West of Iceland,,,,D,,,,,0.8,
TBSN+,Wider Atlantic,,,,D,,,,,0.8,
TBSN+,Gulf of Cadiz,,,,D,,,,,0.8,
TBSN+,Iberian Coast,,,,D,,,,,0.8,
