determinand,species_group,species_subgroup,species,matrix,NRC_basis,LRC_basis,MRC_basis,HRC_basis,NRC,LRC,MRC,HRC
HG,Bird,Seabird,,BL,W,W,W,W,200,1000,3000,4000
HG,Bird,Seabird,,FE,W,W,W,W,1620,4530,9140,10990
HG,Bird,Seabird,,LI,W,W,W,W,530,2260,6100,7910
HG,Bird,Seabird,,EH~ER,W,W,W,W,100,370,910,1160
HG,Bird,Bird_of_prey,,FE,W,W,W,W,1630,4540,9150,10100
HG,Fish,Freshwater_fish,,MU,W,W,W,W,100,300,500,2000
HG,Mammal,Marine_mammal,,HA,D,D,D,D,6100,24400,31700,48100
HG,Mammal,Land_mammal,,LI,W,W,W,W,16000,64000,83000,126000
HG,Mammal,Marine_mammal,,LI,W,W,W,W,4200,7300,22700,30500
